match_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,labellabel,avg_performane_of_main_home_players,avg_performane_of_all_home_players,avg_performane_of_main_away_players,avg_performane_of_all_away_players
662268,10217,8611,0,1,Defeat,67.62296647691333,65.20473806448663,76.1754342577872,73.82817421699775
662269,8640,8593,4,3,Win,76.5887727564789,74.24855753941212,79.10388888888889,74.40985400829898
662271,9908,9839,2,2,Draw,74.2934039656653,70.31709559766895,71.73110577446963,67.2965081344008
662272,8674,9761,1,2,Defeat,70.14321370385888,68.04994562296616,69.2365949839634,67.42420984119549
662273,9791,10235,0,1,Defeat,69.7574358974359,67.81311131227139,75.9154761904762,72.0612049062049
662508,8277,8674,3,0,Win,70.75074358974359,67.64276939434833,72.09012215694545,69.57995251061998
662509,10228,8614,4,1,Win,72.10190631808278,69.89667947661304,68.89056795131846,65.39722785665991
662510,9803,10219,5,1,Win,70.32323178016726,68.34339832166836,68.04157894736842,64.86350037522287
662511,10229,9908,2,0,Win,75.56575757575759,73.25667278849096,74.2934039656653,70.1253284224793
662512,9839,8611,0,2,Defeat,67.66870694522868,65.00850315692213,76.1754342577872,73.15423153944825
662513,10235,9761,0,0,Draw,76.54825396825397,73.2888258601302,69.99900099900101,68.13124447323013
662514,8525,8640,0,1,Defeat,67.56475612107191,65.82214744320007,75.63956640727255,72.78663965931241
662516,9791,8464,2,0,Win,70.47929969671904,68.32041435674132,68.55379217273953,66.86751694126306
662517,10219,8277,4,1,Win,68.04157894736842,64.77063112326272,71.79741025641026,68.74556659714554
662519,8614,9791,1,1,Draw,68.05868103763245,64.41593344847821,70.47929969671904,68.32041435674132
662520,8464,10229,0,0,Draw,68.55379217273953,65.18202674518463,75.8594417862839,73.20700937375578
662521,9761,9803,1,0,Win,69.99900099900101,67.77159535042311,70.32323178016726,68.21441619268624
662522,8640,10235,0,0,Draw,76.17700483091787,73.69025032938077,75.6015873015873,72.63021114151547
662523,8593,9839,7,0,Win,79.46661616161616,75.38049652367835,69.2913043478261,65.98750748592646
662524,9908,10217,0,2,Defeat,74.2934039656653,70.32015985367437,68.94631367437819,66.60442385354409
662525,8674,8525,4,0,Win,72.11240954697476,69.63092008328843,67.02586723218302,64.72690934796198
662526,8277,9761,1,1,Draw,71.48333618233617,67.8131326081326,70.09542957042957,67.81542651925427
662527,10229,8611,1,0,Win,75.8594417862839,73.1885127188955,76.17347347347348,73.56087146814701
662528,9791,10219,4,1,Win,70.47929969671904,68.32041435674132,67.0011943319838,63.836985223707714
662529,10228,8640,2,2,Draw,72.10190631808278,69.37039512774807,76.55846972617587,74.40044000038549
662530,10235,8614,3,0,Win,75.52380952380952,72.1207450520494,67.26820484715626,63.977080634625395
662531,8525,8593,0,2,Defeat,67.56475612107191,65.42993965099228,79.46661616161616,75.36837531155713
662532,9803,9839,4,2,Win,70.32323178016726,68.34339832166836,68.75753811405987,65.76714754283924
662533,9908,8674,1,1,Draw,74.2934039656653,70.50053503404955,72.11240954697476,69.33163692916658
662534,10217,8464,2,3,Defeat,68.94631367437819,66.60442385354409,68.38456140350877,66.15601275917065
662535,8640,8674,3,1,Win,76.24352719744024,73.92856857678991,72.11389838072166,69.42162436108948
662536,10228,9761,0,0,Draw,71.38425925925927,68.10966810966812,70.21491008991009,68.48220141102917
662537,8593,9791,4,0,Win,79.46661616161616,75.36837531155713,70.47929969671904,68.32041435674132
662538,8277,9803,2,5,Defeat,72.04541025641026,68.21676897176897,70.32323178016726,68.50873298700303
662539,8611,10235,2,0,Win,76.1754342577872,73.56176273374416,75.4065873015873,72.60497804128238
662540,8525,10229,0,3,Defeat,66.47348627980207,64.49241505437678,75.8594417862839,73.08190114864755
662543,9839,8464,2,0,Win,68.75753811405987,65.65144506350039,68.39589743589742,66.31089812148633
662544,10235,10228,6,2,Win,76.05611111111111,72.09967001597437,71.38425925925927,68.45815295815295
662545,9803,8525,3,2,Win,70.32323178016726,68.34339832166836,67.56475612107191,64.95532991729165
662546,10219,9839,1,2,Defeat,67.0661943319838,63.97259128431378,69.32039525691701,66.00169481375015
662547,9908,8277,2,2,Draw,73.69754189669979,69.15057608495268,69.75241025641026,67.42589355089355
662548,8464,8593,1,4,Defeat,68.55379217273953,66.3638449270028,79.46661616161616,75.97898137216319
662549,10229,8640,1,1,Draw,75.66166400850611,73.08901121030307,75.23463830855135,72.7174574656788
662551,9761,8611,0,2,Defeat,69.23075082811924,67.36720731421688,76.04515103338633,73.20970886169029
662553,9791,10217,4,2,Win,70.12374414116348,68.06042314022838,68.87176821983273,65.41156519704907
662274,8464,9908,1,1,Draw,68.73089173983911,66.53375989023328,74.29643426869562,70.57153070504522
662275,8277,10217,1,3,Defeat,69.43474358974359,67.59773610228156,67.26806451612903,65.02943297741685
662276,8611,10219,2,1,Win,76.1754342577872,72.99801378919027,67.10157894736842,63.89848660111819
662278,9839,8674,2,2,Draw,71.35879808216194,67.30151978941245,71.03395214416253,68.79869397606234
662279,8640,9761,3,1,Win,76.5887727564789,74.4404767313313,69.2365949839634,67.42420984119549
662280,10228,10229,0,2,Defeat,70.74814814814815,68.39412146364607,75.89580542264753,73.07245604829336
662281,8593,8614,0,0,Draw,79.10388888888889,75.21360028860029,70.07868103763244,65.98782038507103
662284,10219,10217,0,2,Defeat,67.83,64.19928404928406,67.26806451612903,65.02943297741685
662285,9908,8614,2,0,Win,74.29643426869562,70.22900691867117,70.07868103763244,65.98782038507103
662286,8464,9839,1,1,Draw,69.95998264893001,67.18931544578884,71.35879808216194,67.12727736517003
662288,10235,8611,1,1,Draw,75.9154761904762,71.90457365866456,76.17347347347348,73.04315686077295
662289,9761,10228,2,0,Win,70.21491008991009,68.1965953504231,69.46225240520656,67.68189939658531
662290,8674,8640,0,2,Defeat,70.4155946562398,68.07029194331248,76.27383022774328,73.7342618733923
662291,9791,8593,0,3,Defeat,69.7574358974359,67.81311131227139,79.10388888888889,75.07031024531025
662293,10228,8674,0,1,Defeat,69.8347670250896,67.8857119582926,70.44403910068426,68.16636031938086
662294,8611,9908,3,2,Win,76.32305330540625,73.40861984979632,74.29643426869562,69.9757601654244
662295,10217,10229,2,1,Win,67.80139784946236,65.2870087349926,75.40121212121213,72.5658227294591
662296,8593,9761,6,0,Win,79.10388888888889,75.25826264378897,70.21491008991009,68.5715953504231
662297,8277,8464,2,2,Draw,70.49474358974359,67.8181906477361,68.73089173983911,66.4428507993242
662298,8525,10235,2,3,Defeat,67.10406015037594,64.5120186830713,75.9154761904762,71.90457365866456
662299,8614,10219,1,0,Win,69.26635610766046,65.53903632599284,67.04157894736842,64.60775233538392
662300,9839,9791,1,0,Win,71.35879808216194,67.12727736517003,70.47929969671904,67.85961700192223
662302,8277,10219,3,1,Win,70.49474358974359,67.8181906477361,67.83,65.55378787878789
662304,10229,8464,0,1,Defeat,75.89580542264753,72.49457712733143,68.73089173983911,66.53375989023328
662305,9791,8614,1,1,Draw,69.7574358974359,67.89391939307947,68.9658963585434,65.11837280366692
662306,10228,8611,0,2,Defeat,70.16944444444445,68.2984441186054,76.1754342577872,72.99801378919027
662307,10235,8640,1,3,Defeat,75.9154761904762,72.0612049062049,75.73639180409796,73.48997168082626
662308,10217,9908,0,1,Defeat,66.78806451612903,64.13852388650776,74.29643426869562,69.9757601654244
662309,9839,8593,0,4,Defeat,71.35879808216194,67.30151978941245,79.10388888888889,75.27124965677598
662310,8640,8525,3,1,Win,76.46271911663216,73.92618106531148,67.60167919799498,64.72305764411027
662311,8611,9839,2,1,Win,76.1754342577872,72.99801378919027,70.64213141549526,66.88135661924927
662313,9908,10229,1,0,Win,74.29643426869562,70.57153070504522,75.98192982456142,72.78805432561413
662314,8593,10217,3,0,Win,79.10388888888889,75.25826264378897,66.78806451612903,63.828034376018245
662315,8614,10228,0,2,Defeat,69.84492753623189,65.71414455110106,69.21532258064516,67.86475236233301
662317,9761,10235,0,2,Defeat,70.439671994672,68.81371200569765,75.9154761904762,71.89938672438672
662318,8674,8277,1,0,Win,70.14321370385888,67.9786835517041,71.15741025641026,68.21031185985731
662319,8277,8614,2,0,Win,70.49474358974359,67.8181906477361,70.14327731092438,66.21339444868856
662320,10235,10219,3,0,Win,75.60233333333333,71.6012049062049,67.83,64.79015151515152
662322,10229,9761,1,0,Win,75.69489633173843,72.40325481328183,69.46685814185814,67.9583007502864
662323,10217,8674,1,1,Draw,66.78806451612903,63.828034376018245,70.14321370385888,67.9786835517041
662324,10228,9839,1,1,Draw,70.64124850657109,68.61016346258282,70.64213141549526,66.88135661924927
662325,9803,8593,2,2,Draw,69.03395382395384,67.0059565668879,79.46661616161616,75.84579233897415
662326,9908,8640,0,0,Draw,74.29643426869562,70.57153070504522,76.5887727564789,74.28751857837314
662327,9791,8611,1,3,Defeat,69.7574358974359,67.81311131227139,76.32305330540625,73.06511335628983
836091,9803,8611,0,0,Draw,70.28156511350059,67.90582256751611,76.24747726853988,72.53114693903917
